排名,电影名称,评分,评价人数,简介,封面图片超链接
87,禁闭岛,8.8,561102,昔日翩翩少年，今日大腹便便。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
88,布达佩斯大饭店,8.8,524046,小清新的故事里注入了大历史的情怀。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
89,阿凡达,8.7,819891,绝对意义上的美轮美奂。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg
90,摩登时代,9.3,158007,大时代中的人生，小人物的悲喜。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg
91,幽灵公主,8.9,346343,人与自然的战争史诗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
92,入殓师,8.8,410987,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p594972928.jpg
93,加勒比海盗,8.7,541040,约翰尼·德普的独角戏。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
94,致命ID,8.7,471883,最不可能的那个人永远是最可能的。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
95,断背山,8.8,464785,每个人心中都有一座断背山。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513535588.jpg
96,阳光灿烂的日子,8.8,392508,一场华丽的意淫。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
97,喜剧之王,8.7,541388,我是一个演员。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1043597424.jpg
98,重庆森林,8.7,488819,寂寞没有期限。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
99,第六感,8.8,337816,深入内心的恐怖，出人意料的结局。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
100,狩猎,9.1,204889,人言可畏。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
101,玛丽和马克思,8.9,297306,你是我最好的朋友，你是我唯一的朋友 。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1820615077.jpg
102,消失的爱人,8.7,546702,年度最佳date movie。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
103,小森林 夏秋篇,9.0,238864,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
104,杀人回忆,8.8,356830,关于连环杀人悬案的集体回忆。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p480225538.jpg
105,告白,8.7,482049,没有一人完全善，也没有一人完全恶。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
106,请以你的名字呼唤我,8.8,348306,沉醉在电影的情感和视听氛围中无法自拔。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
107,海蒂和爷爷,9.2,162471,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
108,大鱼,8.8,361449,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
109,一一,9.0,216840,我们都曾经是一一。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
110,爱在黎明破晓前,8.8,341194,缘分是个连绵词，最美不过一瞬。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
111,阳光姐妹淘,8.8,392845,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
112,射雕英雄传之东成西就,8.7,398804,百看不厌。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2535922598.jpg
113,侧耳倾听,8.9,268796,少女情怀总是诗。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
114,红辣椒,9.0,222912,梦的勾结。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p672363704.jpg
115,甜蜜蜜,8.8,317700,相逢只要一瞬间，等待却像是一辈子。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
